;sex;age;address;famsize;Pstatus;Medu;Fedu;nursery;internet;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;higher;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
83;1;16;0;0;0;2;2;1;0;1;1;2;0;0;1;0;0;1;0;4;3;4;1;2;2;4;8;7;6
84;1;16;0;0;0;2;2;1;1;0;2;2;1;1;0;0;1;1;0;4;3;3;2;2;5;14;10;10;9
85;1;16;0;0;0;2;2;0;1;1;2;2;1;0;1;0;1;1;1;3;3;3;1;2;3;25;7;10;11
86;1;16;0;0;0;2;2;1;1;1;3;2;0;0;1;1;0;1;0;4;3;3;2;3;4;2;12;13;13
87;1;16;0;0;0;2;4;1;1;0;2;2;0;0;1;1;1;1;1;4;2;2;1;2;5;2;13;13;13
88;1;16;0;0;0;3;1;1;0;0;1;2;0;1;1;0;0;1;0;3;3;3;2;3;2;4;7;6;6
89;1;16;0;0;0;3;3;1;1;1;2;2;0;0;1;1;1;1;0;4;4;5;1;1;4;4;10;11;9
90;1;16;0;0;0;4;3;1;1;1;3;2;0;0;1;0;1;1;0;5;4;3;1;2;1;2;16;15;15
91;1;16;0;0;0;4;4;1;1;1;1;3;0;0;1;1;1;1;1;5;4;5;1;1;4;4;14;15;16
92;1;16;0;0;0;4;4;1;1;1;1;2;0;0;1;1;0;1;0;4;5;2;1;2;3;0;9;9;10
93;1;17;1;1;1;3;2;1;1;1;1;2;0;0;1;1;0;1;0;4;3;3;2;3;2;4;9;10;10
94;1;17;1;1;0;2;1;1;0;1;3;2;0;0;0;0;1;1;0;2;1;1;1;1;3;2;13;11;11
95;1;17;1;1;0;2;1;1;1;1;2;2;0;0;1;0;1;1;0;4;2;5;1;2;5;2;6;6;6
96;1;17;1;1;0;2;2;1;1;1;1;1;0;0;1;0;0;1;0;5;3;2;1;2;3;18;7;6;6
97;1;17;1;1;0;2;4;1;1;0;1;3;0;0;1;0;0;1;1;4;4;3;1;1;5;7;12;14;14
98;1;17;1;1;0;3;4;0;1;0;1;3;0;0;1;1;1;1;0;4;3;4;2;5;5;0;11;11;10
99;1;17;1;1;0;4;3;1;1;1;2;3;0;0;1;1;1;1;1;4;4;2;1;1;4;6;7;7;7
100;1;17;1;0;0;2;2;1;1;1;1;3;0;0;1;1;1;1;0;3;3;2;2;2;3;3;11;11;11
101;1;17;1;0;0;3;1;1;0;1;2;4;0;0;1;1;0;1;0;3;1;2;1;1;3;6;18;18;18
102;1;17;1;0;0;4;4;1;0;1;1;1;0;0;1;1;0;1;0;5;2;1;1;2;3;12;8;10;10
103;1;17;0;1;1;2;1;1;1;1;2;3;0;0;0;0;1;1;1;3;2;3;1;2;3;10;12;10;12
104;1;17;0;1;1;2;2;1;1;0;1;2;1;0;1;0;0;1;1;3;3;1;1;2;4;0;9;8;0
105;1;17;0;1;1;3;3;0;1;1;1;2;0;0;1;0;0;1;1;3;3;3;1;3;3;6;8;7;9
106;1;17;0;1;1;4;3;1;1;1;1;2;0;0;1;1;0;1;1;5;2;2;1;2;5;23;13;13;13
107;1;17;0;1;1;4;4;1;0;1;2;2;0;1;1;0;0;1;0;4;1;4;1;1;1;6;6;5;6
108;1;17;0;1;0;1;1;0;1;0;1;2;0;0;1;0;0;1;0;5;3;3;1;1;3;4;5;5;6
109;1;17;0;1;0;1;1;1;0;1;1;3;1;0;1;0;1;1;1;4;3;4;1;1;5;0;6;5;0
110;1;17;0;1;0;1;1;1;1;1;1;2;0;0;0;0;1;1;0;5;3;3;1;1;3;0;8;8;9
111;1;17;0;1;0;1;1;0;0;1;1;2;0;0;1;1;0;1;0;4;4;4;1;3;1;4;9;9;10
112;1;17;0;1;0;1;1;1;1;1;1;3;0;0;1;1;0;1;0;4;3;3;1;1;3;6;13;12;12
113;1;17;0;1;0;2;2;1;1;1;1;3;0;0;1;1;1;1;0;4;3;3;1;1;4;4;9;10;10
114;1;17;0;1;0;2;2;0;1;1;1;2;0;0;1;0;0;1;0;5;4;5;1;2;5;4;10;9;11
115;1;17;0;1;0;2;2;1;0;1;1;2;0;0;1;0;0;1;1;4;2;2;1;1;3;12;11;9;9
116;1;17;0;1;0;2;3;1;0;0;2;1;0;0;1;1;0;1;0;3;3;3;1;4;3;3;7;7;8
117;1;17;0;1;0;2;4;1;1;1;2;2;0;0;1;1;0;1;1;4;3;3;1;1;1;2;10;10;10
118;1;17;0;1;0;2;4;1;0;0;1;2;0;0;1;0;1;1;0;5;4;2;2;3;5;0;16;17;17
119;1;17;0;1;0;3;1;0;1;0;1;3;0;0;1;0;0;1;0;3;4;3;2;3;5;1;12;14;15
120;1;17;0;1;0;3;2;0;1;0;1;4;0;0;1;1;1;1;0;5;2;2;1;2;5;0;17;17;18
121;1;17;0;1;0;3;2;0;1;1;1;2;0;0;0;0;1;1;0;5;3;4;1;3;3;10;16;15;15
122;1;17;0;1;0;3;2;1;1;1;1;2;0;0;1;1;0;1;1;4;3;2;2;3;2;0;7;8;0
123;1;17;0;1;0;3;3;0;0;1;1;3;0;0;0;0;1;1;0;3;2;3;1;1;4;4;10;9;9
124;1;17;0;1;0;3;4;1;1;1;1;3;1;0;1;1;0;1;1;4;4;3;3;4;5;28;10;9;9
125;1;17;0;1;0;3;4;1;1;1;1;3;0;0;0;0;0;1;0;4;4;5;1;3;5;16;16;15;15
126;1;17;0;1;0;4;2;1;1;1;2;3;0;0;1;1;0;1;0;4;3;3;1;1;3;0;15;12;14
127;1;17;0;1;0;4;3;1;1;1;1;3;0;0;1;1;1;1;1;4;4;3;1;3;4;0;13;15;15
128;1;17;0;1;0;4;3;1;1;1;1;3;0;0;1;1;0;1;0;4;2;2;1;2;3;0;15;15;15
129;1;17;0;1;0;4;3;1;1;1;1;2;2;0;0;1;0;1;1;3;4;5;2;4;1;22;6;6;4
130;1;17;0;1;0;4;4;1;0;1;1;1;0;1;1;0;0;1;1;4;2;1;1;1;4;0;11;11;12
131;1;17;0;1;0;4;4;1;1;1;2;1;1;0;1;0;0;1;0;4;2;4;2;3;2;24;18;18;18
132;1;17;0;1;0;4;4;1;1;1;1;3;0;0;1;1;1;1;0;5;4;4;1;3;4;7;10;9;9
133;1;17;0;1;0;4;4;1;1;1;1;3;0;0;1;1;1;1;0;5;4;4;1;3;4;7;10;9;9
134;1;17;0;1;0;4;4;0;1;1;2;3;0;0;1;1;0;1;1;4;3;3;1;2;4;4;14;14;14
135;1;17;0;0;0;0;2;1;1;0;2;3;0;0;0;0;0;1;0;3;3;3;2;3;2;0;16;15;15
136;1;17;0;0;0;2;2;1;1;0;1;1;0;0;1;0;0;1;1;3;4;4;1;3;5;12;10;13;12
137;1;17;0;0;0;2;2;1;1;1;2;2;0;1;1;1;0;1;1;4;4;4;2;3;5;6;12;12;12
138;1;17;0;0;0;2;2;1;1;0;1;4;0;0;0;1;1;1;1;3;4;1;1;1;2;0;10;9;0
139;1;17;0;0;0;2;4;1;1;0;1;2;0;0;0;0;1;1;1;4;3;2;1;1;5;0;14;15;15
140;1;17;0;0;0;3;2;1;1;1;2;2;0;0;0;1;0;1;0;4;4;4;1;3;1;2;14;15;15
141;1;17;0;0;0;3;3;1;1;1;1;2;0;0;1;0;1;1;1;5;3;3;2;3;1;56;9;9;8
142;1;17;0;0;0;4;2;1;1;1;1;4;0;0;1;1;1;1;0;4;2;3;1;1;4;6;14;12;13
143;1;17;0;0;0;4;3;1;1;0;1;2;0;0;0;0;1;1;1;3;2;3;1;2;3;14;13;13;14
144;1;18;1;1;1;3;2;0;1;1;2;2;0;0;0;0;0;0;1;4;1;1;1;1;5;75;10;9;9
145;1;18;1;1;0;1;1;0;0;1;3;1;3;0;1;0;1;1;0;5;2;5;1;5;4;6;9;8;10
146;1;18;1;1;0;2;1;1;1;1;2;2;0;0;1;0;0;0;1;4;3;5;1;2;3;0;6;0;0
147;1;18;1;1;0;2;2;1;0;1;2;4;0;0;0;0;1;1;0;4;4;4;1;1;4;0;10;9;0
148;1;18;1;1;0;3;1;1;1;1;1;2;1;0;0;0;1;1;1;5;3;3;1;1;4;16;9;8;7
149;1;18;1;1;0;4;4;1;1;1;2;2;0;0;0;1;1;1;0;4;3;4;2;2;4;8;12;10;11
150;1;18;1;0;0;1;1;1;0;1;2;4;0;0;1;1;1;1;0;5;2;2;1;1;3;1;12;12;12
151;1;18;0;1;1;4;4;1;0;1;2;2;0;1;0;0;0;1;0;4;3;4;1;1;3;6;5;6;6
152;1;18;0;1;0;1;1;1;1;1;2;2;0;1;0;0;1;1;0;5;4;4;1;1;4;4;8;9;10
153;1;18;0;1;0;1;1;1;1;1;2;2;0;1;0;0;1;1;0;5;4;4;1;1;4;4;8;9;10
154;1;18;0;1;0;2;1;0;1;0;2;3;0;0;1;1;0;1;1;4;4;4;1;1;3;0;7;0;0
155;1;18;0;1;0;2;1;1;1;1;2;2;0;0;1;1;1;1;0;5;3;3;1;2;1;0;8;8;0
156;1;18;0;1;0;2;2;1;1;1;1;3;0;0;1;1;0;1;0;4;3;3;1;2;2;5;18;18;19
157;1;18;0;1;0;2;2;1;1;1;1;3;0;0;1;1;1;1;1;4;3;3;1;1;3;0;9;10;0
158;1;18;0;1;0;2;3;1;1;1;1;3;0;0;1;0;0;1;0;4;3;3;1;2;3;4;11;10;10
159;1;18;0;1;0;2;3;1;1;0;1;4;0;0;1;1;1;1;1;4;5;5;1;3;2;4;15;14;14
160;1;18;0;1;0;3;2;1;1;1;1;3;0;0;0;0;0;1;1;5;4;3;2;3;1;7;13;13;14
161;1;18;0;1;0;3;3;1;1;1;1;2;0;0;0;0;1;1;0;5;3;4;1;1;4;0;7;0;0
162;1;18;0;1;0;4;3;1;1;1;1;3;0;0;1;1;1;1;1;4;3;4;1;1;5;9;9;10;9
163;1;18;0;1;0;4;3;1;1;0;1;4;0;0;1;1;0;1;0;4;3;3;1;1;3;0;14;13;14
164;1;18;0;1;0;4;3;1;1;0;1;2;0;0;1;1;0;1;1;3;1;2;1;3;2;21;17;18;18
165;1;18;0;1;0;4;4;1;1;0;1;2;1;1;1;0;1;1;1;2;4;4;1;1;4;15;9;8;8
166;1;18;0;1;0;4;4;1;1;1;1;2;0;0;1;1;0;1;0;4;4;4;3;3;5;2;11;11;11
167;1;18;0;0;1;4;4;1;1;1;1;2;0;0;1;0;0;1;1;4;2;4;1;1;4;14;12;10;11
168;1;18;0;0;0;1;1;0;0;1;2;2;0;0;1;1;0;1;0;4;4;3;1;1;3;2;11;11;11
169;1;18;0;0;0;2;2;0;1;0;1;2;0;0;0;0;1;1;1;4;3;3;1;1;2;0;8;8;0
170;1;18;0;0;0;3;3;1;1;1;1;4;0;0;1;0;0;1;0;5;3;3;1;1;1;7;16;15;17
171;1;18;0;0;0;4;3;1;1;0;2;2;0;0;1;1;0;1;1;4;4;5;1;2;2;10;10;8;8
172;1;19;0;1;0;0;1;0;0;0;1;2;3;0;1;0;0;0;0;3;4;2;1;1;5;2;7;8;9
173;1;19;0;1;0;3;3;1;1;0;1;4;0;0;1;1;1;1;0;4;3;3;1;2;3;10;8;8;8
174;1;19;0;1;0;3;3;1;1;0;1;2;2;0;1;1;1;1;0;4;3;5;3;3;5;15;9;9;9
175;1;19;0;1;0;4;4;1;1;0;2;2;0;0;1;1;1;1;0;2;3;4;2;3;2;0;10;9;0
176;0;15;1;1;0;2;1;1;1;1;1;2;0;0;0;0;1;1;1;5;4;2;1;1;5;8;9;9;9
177;0;15;1;1;0;2;3;1;0;1;1;2;0;1;0;1;1;1;0;4;4;4;1;1;1;2;11;8;8
178;0;15;1;1;0;3;4;1;0;1;4;2;0;0;1;0;0;1;1;5;3;3;1;1;5;0;9;0;0
179;0;15;1;1;0;4;3;1;1;1;1;2;0;0;1;0;1;1;1;4;5;2;1;1;5;0;17;16;16
180;0;15;1;1;0;4;4;1;1;0;4;4;0;0;1;1;1;1;1;1;3;5;3;5;1;6;10;13;13
181;0;15;0;1;1;2;2;1;1;0;1;3;0;0;1;0;0;1;1;4;5;2;1;1;3;0;14;16;16
182;0;15;0;1;1;3;4;1;1;1;1;2;0;0;1;1;1;1;0;5;4;4;1;1;1;0;16;18;18
183;0;15;0;1;1;4;4;0;1;1;1;4;0;0;1;0;1;1;1;1;3;3;5;5;3;4;13;13;12
184;0;15;0;1;0;2;2;1;1;1;1;1;0;0;1;1;0;1;0;4;2;2;1;2;5;2;12;12;11
185;0;15;0;1;0;2;2;1;1;0;1;1;0;1;1;0;0;1;0;5;4;1;1;1;1;0;8;8;11
186;0;15;0;1;0;2;2;1;1;0;1;4;0;0;1;1;1;1;0;5;5;4;1;2;5;6;16;14;15
187;0;15;0;1;0;2;3;0;1;1;1;3;0;1;0;1;0;1;0;5;3;2;1;2;5;4;11;10;11
188;0;15;0;1;0;2;3;0;1;0;1;1;0;1;1;1;1;1;1;3;2;2;1;3;3;2;10;12;12
189;0;15;0;1;0;3;4;1;1;1;1;2;0;0;1;1;1;1;0;5;5;1;1;1;5;0;14;15;15
190;0;15;0;1;0;3;4;1;1;0;1;1;0;0;0;0;0;1;0;3;4;3;1;2;4;6;14;13;13
191;0;15;0;1;0;3;4;1;1;0;1;1;0;1;0;0;0;1;0;5;5;5;3;2;5;0;13;13;12
192;0;15;0;1;0;4;0;1;1;1;2;4;0;0;0;0;1;1;0;3;4;3;1;1;1;8;11;11;10
193;0;15;0;1;0;4;2;1;1;1;1;1;0;0;0;1;0;1;0;2;2;4;2;4;1;4;15;16;15
194;0;15;0;1;0;4;2;1;1;1;1;4;0;0;0;0;0;1;0;3;3;3;1;1;3;0;10;10;10
195;0;15;0;1;0;4;2;1;0;1;1;2;0;0;1;1;0;1;0;4;3;3;2;2;5;2;15;15;14
196;0;15;0;1;0;4;3;1;1;1;2;2;0;0;1;1;0;1;0;5;4;3;1;2;3;2;10;10;11
197;0;15;0;1;0;4;3;1;1;1;1;2;0;0;1;1;1;1;0;4;3;3;2;3;5;6;9;9;10
198;0;15;0;1;0;4;3;1;1;1;1;2;0;0;0;0;0;1;0;4;4;1;1;1;1;0;13;14;15
199;0;15;0;1;0;4;3;1;1;0;2;4;0;1;1;0;0;1;0;2;2;2;1;1;3;0;7;9;0
200;0;15;0;1;0;4;4;1;1;0;1;1;0;0;1;1;0;1;0;5;4;2;1;1;5;0;12;15;15
201;0;15;0;1;0;4;4;0;1;1;1;2;0;0;1;1;0;1;0;5;4;2;3;4;5;0;9;11;12
202;0;15;0;1;0;4;4;1;0;0;2;2;0;0;1;0;1;1;0;4;4;3;1;1;2;2;11;13;14
203;0;15;0;1;0;4;4;0;1;1;1;1;0;0;1;0;1;1;0;5;3;3;1;1;5;4;10;13;14
204;0;15;0;1;0;4;4;1;1;1;2;2;0;0;1;0;1;1;0;4;3;1;1;1;5;0;17;16;17
205;0;15;0;1;0;4;4;1;1;0;1;2;0;0;1;0;1;1;0;4;3;3;1;1;5;2;19;18;18
206;0;15;0;1;0;4;4;1;0;1;1;2;0;0;1;0;1;1;0;3;2;2;1;1;5;4;14;15;15
207;0;15;0;0;1;2;1;1;1;1;4;1;3;0;0;0;0;1;0;4;5;5;2;5;5;0;8;9;10
208;0;15;0;0;1;3;2;1;1;1;1;2;0;0;1;1;0;1;0;4;2;2;1;1;1;0;16;18;19
209;0;15;0;0;1;4;2;1;0;0;2;1;1;0;0;0;0;1;0;5;5;5;3;4;5;6;11;11;10
210;0;15;0;0;1;4;4;1;1;1;1;1;0;0;0;0;1;1;0;5;5;3;1;1;4;6;18;19;19
211;0;15;0;0;0;1;2;1;1;0;1;2;0;1;1;0;1;1;0;4;3;2;1;1;5;2;9;10;9
212;0;15;0;0;0;2;2;1;1;1;1;4;0;0;1;0;1;1;0;4;3;4;1;1;4;6;11;13;14
213;0;15;0;0;0;2;2;1;1;1;2;2;0;0;0;1;1;1;0;5;3;3;1;3;4;4;15;15;15
214;0;15;0;0;0;3;3;0;1;1;1;2;0;0;0;0;1;1;0;5;3;2;1;1;2;0;8;10;12
215;0;15;0;0;0;4;2;1;1;1;1;1;0;0;0;0;0;1;0;3;5;2;1;1;3;10;18;19;19
216;0;15;0;0;0;4;3;1;1;1;1;3;0;0;1;0;1;1;0;5;4;3;1;1;4;2;15;16;18
217;0;15;0;0;0;4;4;1;1;0;1;1;0;0;1;1;1;1;0;4;3;3;1;3;5;2;14;14;14
218;0;15;0;0;0;4;4;0;1;0;1;1;0;0;1;0;0;1;1;5;4;3;2;4;5;8;12;12;12
219;0;16;1;1;1;4;4;1;1;1;2;3;0;0;1;0;1;1;1;2;4;3;1;1;5;7;15;16;15
220;0;16;1;1;0;2;1;0;0;1;2;1;0;0;0;0;1;1;0;3;3;2;1;3;3;0;8;9;8
221;0;16;1;1;0;2;2;0;0;1;3;1;0;0;0;0;0;1;0;4;2;2;1;2;3;2;17;15;15
222;0;16;1;1;0;3;3;1;1;1;1;1;0;0;1;0;1;1;0;4;3;2;3;4;5;8;8;9;10
223;0;16;1;1;0;4;2;1;1;1;1;1;0;0;1;0;1;1;1;4;3;3;3;4;3;10;10;8;9
224;0;16;1;1;0;4;3;0;1;1;2;1;0;1;1;0;1;1;0;3;3;3;1;1;4;2;11;15;15
225;0;16;1;1;0;4;4;1;1;1;1;1;0;0;0;1;1;1;0;3;5;5;2;5;4;8;18;18;18
226;0;16;1;0;0;3;3;1;1;0;3;1;0;0;1;1;1;1;0;3;3;4;3;5;3;8;9;9;10
227;0;16;0;1;0;0;2;0;1;1;1;1;0;0;0;1;0;1;0;4;3;2;2;4;5;0;13;15;15
228;0;16;0;1;0;1;0;1;1;1;2;2;0;0;1;1;1;1;1;4;3;2;1;1;3;2;13;15;16
229;0;16;0;1;0;1;2;1;1;1;1;1;0;0;1;1;1;1;1;3;3;3;1;2;3;2;11;12;11
